C_CH2_lens,hop_angle,hop_times
1.5673628,39.751174410663964,25.3
1.5277984,16.589970615282013,12.3
1.5845907,7.170394761962255,7.7
1.4330385,17.620786241938717,9.3
1.5469531,18.361751824492877,13.3
1.5600815,12.339052623398313,7.5
1.5879579,38.18365635195552,27.200000000000003
1.6023287,10.479803377583895,14.3
1.5899274,5.903491656177114,7.6000000000000005
1.6300809,23.750333773442243,27.3
1.585354,22.69144267058366,26.3
1.5418279,13.11684489183154,8.8
1.5833228,8.070828511005187,10.700000000000001
1.5242676,10.552586235771011,8.700000000000001
1.6406206,29.893036760980024,7.6000000000000005
1.5504297,11.652072859691845,7.800000000000001
1.5545224,1.3760306211198667,10.200000000000001
1.5774252,15.332863798275795,16.6
1.6225473,4.1408088486143395,7.7
1.660502,26.715644306890322,29.900000000000002
1.531145,17.91887921490833,10.600000000000001
1.5141131,11.488391013384327,8.1
1.5296385,19.657449582178998,7.9
1.5692785,13.654353609437116,23.200000000000003
1.5364034,6.569272351093733,7.4
1.5624144,25.53502140408405,13.600000000000001
1.5473663,18.39734507938161,7.5
1.6654773,37.25070558744219,28.0
1.5173519,18.332836860894677,8.6
1.6227808,9.933933940644426,7.9
1.5718173,20.441918351792097,7.9
1.5913206,29.16405898908602,8.200000000000001
1.5058339,25.97999562189125,14.5
1.5418848,22.31462957516555,5.9
1.4126586,51.99170371629076,50.2
1.5011189,18.015138875775147,6.2
1.5409796,22.779281709783632,17.8
1.5496733,12.335999534193364,9.8
1.6253302,42.92108476508993,29.200000000000003
1.5618299,25.49745593380152,11.700000000000001
1.5318305,11.424545958965627,10.100000000000001
1.5436776,13.470147057003757,7.5
1.5599179,12.454685011951286,6.6000000000000005
1.6070099,22.346780949330906,7.5
1.452041,9.515516715758158,9.600000000000001
1.5257297,11.304449280544983,6.9
1.576458,11.246589437621214,8.5
1.5832479,15.741317497666618,6.7
1.5280172,10.330018594195105,7.7
1.5882865,5.049313460846443,6.5
1.574557,11.910943141358999,10.100000000000001
1.48869,19.592440574237468,9.8
1.6214641,27.34056450035562,15.700000000000001
1.549934,13.58029815324214,7.1000000000000005
1.5771297,42.350650279029836,28.8
1.4552076,4.35361590305401,6.5
1.5350559,8.771024002914022,8.700000000000001
1.5939033,9.545730593105379,8.3
1.5027616,35.127797839217855,51.2
1.4918997,36.17907606931337,42.5
1.5640486,9.227546058477024,7.4
1.6268787,15.363820657556309,9.3
1.5330925,22.812313744380386,11.200000000000001
1.5485256,12.802509654440865,8.6
1.4766536,17.082548801416706,15.600000000000001
1.576427,6.66751064765463,7.5
1.7034045,28.92320644175794,27.5
1.5080643,13.119147236553085,12.0
1.5590746,3.8768170468091045,11.600000000000001
1.6251179,13.432895865146001,9.8
1.5009214,13.747392193030864,12.4
1.4767749,8.148277375207925,8.3
1.6663151,28.212829774608203,26.0
1.4954046,28.875173072129193,14.3
1.561053,12.853681705676077,6.0
1.4592755,16.168325720553874,46.1
1.5311358,21.960947395115067,15.5
1.5561128,14.58020982591643,9.4
1.4351051,40.49136048731327,51.300000000000004
1.7196691,39.97183468732241,32.7
1.5674995,25.302673279129984,16.1
1.5302559,22.545152241530023,7.6000000000000005
1.6146834,30.406361138534656,30.400000000000002
1.7191153,31.67021222418928,27.0
1.5829157,7.575516111103553,7.7
1.4823518,20.1365986420623,45.5
1.5702065,18.27639580796561,8.1
1.5415246,22.181057507350843,9.3
1.5669634,16.299569452482743,11.100000000000001
1.5737303,9.68285538637428,13.4
1.5125942,6.426657824073831,9.1
1.5823237,24.76439498375707,29.5
1.4758548,9.517083734216893,11.0
1.5233492,13.130445857207484,9.600000000000001
1.562007,14.978534063545514,10.100000000000001
1.5643605,10.435782018192842,8.3
1.5741246,8.591952742747502,10.600000000000001
1.5258167,10.313243940465194,10.700000000000001
1.5416741,16.534869226601202,7.9
1.5072193,13.133312861397043,8.6
1.5353367,20.949431452059436,8.6
1.7488335,18.613491083647965,13.0
1.6402495,14.175331003766257,7.7
1.5608704,14.889502231181172,30.200000000000003
1.5712981,16.23545179903146,8.3
1.5910499,25.374023002090464,9.3
1.5086614,19.219298616566377,9.0
1.5739284,18.648267857192515,9.4
1.5596641,20.22930125502653,8.5
1.522499,7.986387159405193,9.5
1.537526,16.75542232095351,9.1
1.5062037,12.577693680150496,10.8
1.4990281,11.473951705540285,9.600000000000001
1.5073497,12.856838116643125,11.100000000000001
1.6666657,5.005365300546725,28.6
1.592174,12.448203048260012,6.6000000000000005
1.5466102,12.770965103650514,8.9
1.4934412,17.27282643023048,13.5
1.5607443,13.589716922097189,7.800000000000001
1.6909646,13.888719230452166,27.3
1.5925467,10.119166586971613,10.600000000000001
1.4995909,27.160206973748828,12.4
1.4616648,25.540858301628973,15.5
1.4970562,115.07704409005427,57.400000000000006
1.5042162,14.67305187600643,8.6
1.7733196,51.39263215592854,28.8
1.6416527,5.39759159909396,13.100000000000001
1.6798217,5.770185665540735,8.3
1.7011861,14.443652466122998,30.400000000000002
1.55855,13.855500725523255,8.0
1.643224,20.840302400631252,7.1000000000000005
1.5930498,18.157857270900713,10.9
1.5470235,6.668225298489576,11.5
1.59937,21.335091856099954,8.3
1.6790758,14.663077572199727,8.4
1.5370536,22.44914972365393,10.9
1.7333629,15.930743077309813,26.6
1.5871477,46.53418949375066,17.5
1.5198287,28.119103206010344,7.4
1.5849407,46.69541545358943,17.6
1.4767287,15.49303394058057,7.4
1.6035516,6.489506457223085,12.8
1.5697008,5.929952929850474,7.800000000000001
1.4869899,26.669506133020885,46.7
1.6910758,14.823354726131754,29.200000000000003
1.597423,21.037421741986403,16.0
1.5898603,10.337801026871587,7.7
1.3759426,64.11406796491235,47.900000000000006
1.5608839,10.975514024186086,8.1
1.5789869,23.713167341136437,12.100000000000001
1.6045061,12.966162000509007,8.9
1.5519273,10.44918134347009,12.4
1.5370147,16.623686969046403,7.5
1.6136779,12.482545539664597,6.9
1.6205931,6.714924352420848,30.200000000000003
1.4840233,17.41864212713602,47.5
1.537278,2.324338245144662,6.4
1.5163206,10.909693369537097,7.0
1.5448893,12.811665240577998,9.700000000000001
1.5639038,13.549297497219998,8.0
1.5213425,12.51841650222416,9.5
1.5894718,9.507610839789503,6.4
1.5335505,24.85077909340132,15.200000000000001
1.4828618,26.96265135547351,7.2
1.6413237,43.91343578896804,29.8
1.5288243,4.98940859312288,11.5
1.5666754,12.41140741327829,7.5
1.5191847,19.706594851402585,16.6
1.5295047,18.724705871324034,8.1
1.7403982,38.35305874348702,33.6
1.6040248,14.42889681829542,7.9
1.540693,18.597541994100176,8.0
1.5842731,17.577822322968096,9.4
1.4953967,34.949010884670216,8.5
1.615112,8.47897787034227,9.0
1.4896325,2.2744394400716392,9.200000000000001
1.5017439,11.06689885668137,8.5
1.527096,14.964244286847876,9.3
1.4895413,10.689901453076889,9.700000000000001
1.5377707,45.95722560123524,15.9
1.4397131,97.66111365579431,37.9
1.588363,27.260296526188455,6.7
1.4908026,63.46472983578339,24.1
1.4725752,122.48211109049095,47.300000000000004
1.552771,19.083106340501963,13.3
1.5578191,28.73622321670524,8.5
1.5693524,11.639376573989248,9.9
1.5850797,3.0588891241331266,7.1000000000000005
1.367223,63.30681615531404,45.400000000000006
1.5194882,21.262674402486596,8.200000000000001
1.4128479,41.47656398947487,14.100000000000001
1.6224166,33.22445951740043,12.0
1.5772446,18.977416748783533,7.6000000000000005
1.4591404,11.056072185930182,7.4
1.5249212,10.948484562949165,7.7
1.5966675,19.284790228492753,27.6
1.617877,2.870885041590731,11.4
1.5696987,19.603114781882987,11.600000000000001
1.5824674,22.15138788906018,7.7
1.535645,30.35237214672164,20.3
1.5504259,9.561695511152264,8.9
1.6303309,18.03599088704697,13.9
1.5868406,14.15768218419128,5.7
1.4604245,18.524878128778962,13.0
1.5684487,10.104058689585504,7.6000000000000005
1.7622921,30.545273667195904,27.700000000000003
1.4986861,18.57955003749923,13.700000000000001
1.5273169,18.796738405030233,7.300000000000001
1.6735817,30.373765842644232,26.900000000000002
1.5290757,9.310880683802262,9.200000000000001
1.5378245,10.555035125611454,8.9
1.5607467,24.3834988406059,9.700000000000001
1.6174991,26.813658274880012,24.400000000000002
1.5803564,11.059656294417456,9.3
1.4684762,21.43371828492638,14.100000000000001
1.5612794,17.467106917082603,8.1
1.6742761,33.943924861684394,26.900000000000002
1.5248133,4.8264787554105,9.0
1.6046656,11.866849584379212,7.1000000000000005
1.607683,15.769740398549782,16.5
1.6747123,12.262505558368806,35.9
1.59279,30.387711048341124,57.5
1.5873543,16.245949533221005,8.3
1.6050582,25.323952951074347,29.5
1.4967003,22.977790594449818,51.800000000000004
1.5568602,7.1241635106601215,7.6000000000000005
1.5043557,6.49760248310106,6.9
1.5710944,11.7986106452835,12.9
1.6431863,12.520117426268602,30.0
1.5685743,9.538479896177856,9.9
1.6257552,12.700725994546119,27.400000000000002
1.6411111,27.126345608257672,15.200000000000001
1.5959929,61.84713895675415,36.300000000000004
1.5942405,12.770970832743345,7.0
1.5701851,38.01645634372697,27.0
1.7037874,25.72170376158301,29.6
1.4948542,25.76523727372365,8.0
1.5285023,26.870363723209163,12.8
1.5809957,7.8971187731237364,10.0
1.5174998,3.210176736460565,11.3
1.5097625,23.83531344438898,16.3
1.6071755,7.673311316383815,7.6000000000000005
1.7513794,21.22307174793795,29.5
1.5333894,13.893903276436513,9.200000000000001
1.5761256,7.154806725734231,9.4
1.6066163,15.569016828963903,7.0
1.5749185,31.219987385212864,11.3
1.4724351,12.100445510456673,7.5
1.5645876,13.299602633536024,7.2
1.5116601,27.11527091457971,8.200000000000001
1.5988207,11.01598628190038,10.700000000000001
1.6475176,23.16205133465266,11.5
1.5864179,3.854850682448136,7.1000000000000005
1.4846772,11.968730716390189,7.6000000000000005
1.6417618,6.830194176050766,14.100000000000001
1.5871375,3.688102387183215,9.4
1.5626488,20.122484580354566,29.200000000000003
1.5590638,7.981973810933743,12.200000000000001
1.5717993,8.055986724801478,7.9
1.522939,3.521862093661285,13.5
1.5406026,0.9029743750581043,7.0
1.7073193,11.018825374475256,32.800000000000004
1.5278171,28.815095262765414,45.7
1.53354,24.834614529547032,14.8
1.6045197,66.20604776646834,36.4
1.4766982,14.453213468952674,8.200000000000001
1.6080894,45.523093521236575,26.6
1.3536217,81.4480562490461,44.400000000000006
1.5648016,18.755013744625288,24.1
1.6570258,6.445695154752269,7.6000000000000005
1.5729553,22.008479454118863,8.200000000000001
1.555314,15.106630304302444,7.800000000000001
1.4659834,14.384576233668955,10.100000000000001
1.5135428,14.717451287335503,14.700000000000001
1.5147761,7.64303100844012,9.3
1.7093316,21.555513743174835,29.1
1.6718609,5.888212381423944,16.5
1.5709873,3.090455005144928,7.300000000000001
1.6360676,17.026772507676455,32.4
1.5665102,7.017442316373277,7.4
1.5435642,7.5207727510414415,7.300000000000001
1.5889659,18.351708916327834,10.8
