iteration,flipped,R2,RMSE
13,17,0.799566608916871,0.0155074416893127
13,24,0.782591640183712,0.0161430129624737
13,18,0.789265378286449,0.0158857925220705
14,15,0.795138248917793,0.0155608111951345
14,22,0.786453898339535,0.0158810398756452
14,22,0.804684230870632,0.0153123847552622
14,26,0.792239903761523,0.0157824300189168
14,24,0.796602204418645,0.0156057229435687
15,25,0.798917906833545,0.015413497874019
15,17,0.802371510486873,0.0152738922798602
15,10,0.812374636089149,0.0149990933116566
15,19,0.803146705718777,0.0153587222967021
15,17,0.807880659388559,0.0151648616339773
16,24,0.802248970200349,0.015297640698055
16,15,0.812232562818843,0.014888938769692
16,10,0.819160028486552,0.0147149166847544
16,20,0.804795214181542,0.0152984133030667
16,19,0.815895625785082,0.0148466628523387
17,25,0.804791906388924,0.0151938989460222
17,17,0.812755763876983,0.0148696740453591
17,18,0.816132454600735,0.0148496221121842
17,17,0.813388692758181,0.014954823687018
17,8,0.828582602243859,0.0143228324777956
18,18,0.815779293687314,0.0147493762058668
18,15,0.820055701713629,0.0145743054569883
18,13,0.824784147659282,0.0144872563495862
18,17,0.821949647522633,0.0146012095340242
18,15,0.830417379291318,0.0142461527179063
19,23,0.814571060418391,0.0148026113662987
19,15,0.821004662415617,0.0145358234059903
19,19,0.826868515741004,0.0144050578424182
19,19,0.824017170965293,0.0145161474154999
19,19,0.837835666709423,0.0139307904714841
20,22,0.825861808914658,0.0143383187432693
20,20,0.826648209165264,0.0143054259035719
20,23,0.82962555594789,0.0142928650410239
20,21,0.832398152632254,0.0141660587149831
20,17,0.838884825565241,0.0138881595708481
21,17,0.837169988887616,0.0138480997381423
21,11,0.832445619649624,0.0140647188938832
21,15,0.838181361163513,0.0139277548143285
21,18,0.832561394932243,0.0141610099285609
21,10,0.848866875576418,0.0134498024467931
22,13,0.840621699580433,0.013693632311346
22,10,0.838573578975759,0.0138045388524831
22,9,0.847556002233813,0.0135171991458889
22,9,0.840643317578532,0.0138158271919061
22,10,0.853157811672091,0.0132562631079263
23,12,0.844447860444131,0.0135254668100071
23,9,0.841886485541836,0.0136619104797683
23,7,0.848550408791758,0.013472547106782
23,8,0.841454782720829,0.0137755564088601
23,12,0.854529020032472,0.0131941390767527
24,14,0.844080249343264,0.0135401517638329
24,8,0.839273739565579,0.0137761048453059
24,16,0.847048127601155,0.0135421985190924
24,17,0.844227645940886,0.0136540234461278
24,14,0.853504909491134,0.0132438578116756
25,17,0.846545568299563,0.0134353873143754
25,18,0.84360741128999,0.0135894810592719
25,16,0.858714302104618,0.0130029696771279
25,10,0.850110542970327,0.0133965605866456
25,17,0.86039695021994,0.0129288348903595
26,16,0.851434025695762,0.0132238847149981
26,16,0.84485800974269,0.0135342105414046
26,17,0.860405436611803,0.0129331754098387
26,15,0.852001032548589,0.0133216858656165
26,12,0.868083566945196,0.0125704542126949
27,17,0.86375578700079,0.0126558329890901
27,18,0.852958497559691,0.0131763658282808
27,16,0.864854697397215,0.0127313745819132
27,15,0.856409032292659,0.0131264902458799
27,8,0.880216632185712,0.0119753015574821
28,15,0.86977780806679,0.0123718306078197
28,15,0.860254801074351,0.0128440028556954
28,8,0.875182215818332,0.0122290023686891
28,8,0.869099682073062,0.0125190238631552
28,9,0.879307215450971,0.0120212741735194
29,10,0.871981986539166,0.0122679316562613
29,6,0.867812478929364,0.0124915376694279
29,8,0.875599685767766,0.0122091469009844
29,7,0.872859265746881,0.0123386861677778
29,7,0.883491670038123,0.0118108253532062
30,10,0.876881351987226,0.0120291278852989
30,9,0.868122548620053,0.0124772679406541
30,6,0.879546543013983,0.0120154219661533
30,11,0.87321833019809,0.0123233103139261
30,5,0.886493041357035,0.0116555186088656
31,9,0.875516008872269,0.0120949049801374
31,8,0.876580857204644,0.0120701878732949
31,12,0.87950683857005,0.0120218923107558
31,11,0.874094743250588,0.0122858455238212
31,14,0.882956508904892,0.0118396130133675
32,12,0.881259246018592,0.0118119897010695
32,13,0.875715311286754,0.0121135223928745
32,19,0.877538326656666,0.0121218087829013
32,16,0.87798752332532,0.0120962511249388
32,18,0.887350400722158,0.0116137432674051
33,9,0.891169648873347,0.0113088740343641
33,11,0.883888128935978,0.0117136262593946
33,9,0.887904456788926,0.0115974265188733
33,9,0.88850872373127,0.0115620254447257
33,6,0.901971091410686,0.0108306921999789
34,4,0.898743870930286,0.0109082630472749
34,7,0.887431469970058,0.0115341265707374
34,4,0.89680454033238,0.0111221938857118
34,4,0.894930848593124,0.011218246970621
34,6,0.904224989827011,0.0107055551650183
35,4,0.901146634579987,0.0107779349058842
35,9,0.892323455712788,0.0112763472463142
35,5,0.896531763436924,0.0111376289112237
35,4,0.895798919898952,0.0111701618575115
35,2,0.908085027148587,0.0104878166953934
36,2,0.903377300444777,0.0106557250089945
36,2,0.898923342705194,0.0109248207041203
36,3,0.900769228400475,0.0109052096808513
36,2,0.897630243611241,0.0110726061913664
36,1,0.908563889203422,0.0104602382375313
37,3,0.903480376062331,0.0106497759072215
37,3,0.899784413258481,0.010877778464
37,0,0.90297546915631,0.0107791219314083
37,2,0.896832681334553,0.0111168450207861
37,1,0.908878684333934,0.0104419837476546
38,1,0.903074447248385,0.0106719268915513
38,0,0.900904988938882,0.0108166049865485
38,1,0.902858003737396,0.0107863046404383
38,0,0.89816078777428,0.0110436872467492
38,1,0.908632646778954,0.0104561215803817
39,1,0.903004108214788,0.0106757748210668
39,1,0.901226512804297,0.0107988438418907
39,0,0.902753469544893,0.0107912611883901
39,0,0.898275117579636,0.0110377874734021
39,1,0.908704812195321,0.0104519514530869
40,1,0.902751267205927,0.0106896646006495
40,0,0.901242516427966,0.0107979655997613
40,0,0.902753469544893,0.0107912611883901
40,0,0.898275117579636,0.0110377874734021
40,1,0.908704812195321,0.0104519514530869
