iteration,flipped,R2,RMSE
1,1290,1.17347923811904E-06,0.0382968184382847
1,466,0.204956195705879,0.0316163767148726
1,339,0.316050329131665,0.0290444708919585
1,278,0.361498411259205,0.028058643220072
1,218,0.411114472280572,0.0267537447594259
2,174,0.479966614045927,0.0249245903661861
2,136,0.519550795598976,0.0239625829219808
2,122,0.549000919861489,0.0233255429730209
2,119,0.553409726879359,0.0233034004998363
2,100,0.592810020892068,0.022093043509764
3,77,0.592267472524063,0.0219526180998088
3,68,0.620652608148181,0.0211975594851809
3,87,0.615957756102936,0.0215045501028072
3,61,0.637678853473498,0.0208846851053834
3,65,0.631417087914302,0.0210238217330195
4,63,0.64153598969619,0.0205819009838297
4,71,0.634743504952281,0.0208190052217074
4,61,0.660490463014409,0.0201762713887747
4,58,0.667708268739458,0.0199653947189039
4,54,0.65707260765233,0.0202871395268772
5,45,0.676667587475982,0.0195664281130684
5,40,0.672886360451805,0.0196741960396451
5,43,0.683541567123384,0.0194826563856797
5,37,0.693075726585205,0.0191809113631072
5,45,0.674839478279595,0.0197419278961338
6,42,0.692911998370546,0.0191089663270574
6,42,0.68421085879634,0.0193326613471636
6,50,0.697700756841341,0.0190565087124548
6,54,0.697664344572431,0.0190428038036517
6,51,0.68407870276619,0.0194696720635483
7,38,0.719014021875383,0.0182859758999411
7,52,0.692689838493179,0.0190721800719823
7,33,0.718753900259231,0.0183855941794814
7,51,0.716958665635544,0.0184351137071747
7,42,0.707783329246787,0.0187138878064648
8,42,0.728858134700087,0.0179367091422154
8,38,0.72271812515602,0.0180999125848827
8,45,0.735532236280854,0.0178206880654114
8,31,0.742085452639683,0.01758744098856
8,28,0.717902376189582,0.0183844641049711
9,29,0.746332340516039,0.0173268270836819
9,36,0.733809567816166,0.017738327333506
9,35,0.751250225881595,0.0172623810042801
9,21,0.760200933575801,0.016969118665956
9,39,0.724973170790028,0.0181511244637961
10,27,0.755662469898236,0.0169972109795685
10,32,0.750950532554159,0.017156134735483
10,23,0.772461985241641,0.0164988035699878
10,24,0.760083629379086,0.0169806005533307
10,27,0.740813581195459,0.0176192389755502
11,21,0.763115666068119,0.0167320192266616
11,30,0.75856850040794,0.0168915121020548
11,23,0.775116213880649,0.0164090022475605
11,25,0.766591524937906,0.0167293216521716
11,34,0.750023472925433,0.0173009534595708
12,33,0.763619075803818,0.0167296712550696
12,18,0.777399354847466,0.0162176885025526
12,28,0.785002791397125,0.0160561399387939
12,27,0.770930699262274,0.0165691127067896
12,25,0.765408255386699,0.0167621919827859
13,21,0.782409153570518,0.016046703456203
13,19,0.786089528146178,0.0158927952136234
