C_CH2_lens,hop_angle,hop_times
1.6145204,11.027524930390198,7.9
1.6683228,12.008962330402731,26.400000000000002
1.4857385,26.145453066338284,6.6000000000000005
1.5137769,18.92175722740179,13.5
1.4903139,24.94773605533865,15.0
1.4731039,15.151542235924891,7.1000000000000005
1.6905179,47.72963289493864,31.1
1.5690935,5.93180250948106,7.7
1.7086037,11.452356984242376,27.8
1.5933408,10.381823634989596,7.800000000000001
1.5157657,16.267714975819896,15.4
1.7048143,14.761024218845762,36.9
1.5622382,10.778739739407671,8.200000000000001
1.7527257,13.209135088120796,29.700000000000003
1.4955307,23.14006751640462,51.7
1.5601344,15.134745001639354,7.6000000000000005
1.5759518,13.746663614936061,26.8
1.5313915,10.037984494800764,9.700000000000001
1.5531124,16.704446403407307,8.0
1.7039129,34.85282425548146,12.4
1.6103266,12.575635285707271,6.9
1.5680976,4.862312003363295,25.8
1.5365226,21.352417681390925,8.200000000000001
1.5360215,2.4515854254667877,6.4
1.5321995,2.5619646122290507,6.2
1.5409051,2.2860646874053203,6.7
1.5206792,10.938632006163058,7.4
1.5715601,24.050606919083787,29.400000000000002
1.5611545,13.587121641004519,7.9
1.5131993,18.659489155848167,12.700000000000001
1.6179042,9.450040662786545,7.2
1.5322087,25.405922240035906,15.3
1.4781939,27.166082821634877,7.1000000000000005
1.4009913,57.746162515812145,48.800000000000004
1.5483645,11.670494345523949,7.800000000000001
1.4965649,23.50199729774299,50.300000000000004
1.4435922,17.520616952115624,45.400000000000006
1.5703017,12.391358578739911,7.7
1.5066109,18.67467992524984,17.2
1.5414224,19.035884412458465,8.5
1.5046614,53.91180119381254,52.300000000000004
1.6006236,5.460725491443419,28.400000000000002
1.4446853,27.12960479317186,15.4
1.5381418,18.34678139957022,7.9
1.4237863,67.43182790118382,41.2
1.583933,17.63212419059981,9.4
1.489069,34.15352869444372,8.200000000000001
1.612773,8.836512395957609,9.1
1.6131656,8.848797112547523,9.0
1.6117165,8.812595665148251,9.3
1.4855391,2.1122161176580456,9.4
1.5220412,16.108980647590677,16.6
1.5031279,11.082153022428688,8.8
1.4405973,37.16672428941001,48.6
1.6120602,7.941513339736977,25.700000000000003
1.5517747,16.27991379603693,13.600000000000001
1.5249134,13.807268492823535,7.300000000000001
1.5447297,16.24220860577931,14.600000000000001
1.4936049,10.02490722417505,10.700000000000001
1.5639783,42.34389372339208,15.3
1.5527831,42.845722500986,15.600000000000001
1.598271,27.867398642560786,7.0
1.5565394,42.68212283634513,15.5
1.551658,19.829839380092615,13.600000000000001
1.560715,27.363114863970118,12.4
1.5685084,29.419475166323767,9.4
1.4383394,21.73276940447834,19.3
1.5697323,11.016594003527452,9.4
1.5834765,3.401592260213984,7.0
1.5036887,48.40552926385622,34.9
1.5321455,21.04332159917802,8.0
1.4987457,18.383393616152503,6.6000000000000005
1.541281,25.788375782046554,10.9
1.4301507,41.82848158592072,13.8
1.6207354,4.117673924946736,7.7
1.6536099,26.674366287352083,15.9
1.5742023,27.2169761134439,7.2
1.5638306,28.966751982717653,32.4
1.610038,24.29568497311504,9.9
1.406619,9.554393693328267,12.700000000000001
1.4783586,5.11015364335798,47.5
1.6206373,17.195783856751653,8.9
1.5778204,3.4664194195567104,12.8
1.5006877,21.274886069556757,16.6
1.5602075,29.553337844093306,8.0
1.378342,24.755197948969467,51.300000000000004
1.5997821,16.90841710860862,9.1
1.6069404,24.652640063522064,9.200000000000001
1.5622053,27.407900514581463,22.6
1.5310582,17.462936488444278,10.700000000000001
1.5493062,9.405693290922082,8.9
1.6294339,17.11813658253593,13.8
1.5742766,14.003552138554964,5.5
1.6664155,28.539043479189594,27.3
1.5680943,10.501011825518066,8.1
1.4702863,17.349963506157327,11.5
1.5296811,9.569558802523876,9.700000000000001
1.5402375,9.795552834767351,8.5
1.5604972,29.46090858403205,27.5
1.5477779,29.061913846888306,27.0
1.5730112,31.10784995685667,45.0
1.59931,25.35393839945194,23.3
1.5817192,11.288570854905391,9.5
1.5626248,17.51643632750375,8.200000000000001
1.5298505,13.387880715332239,8.9
1.5208006,24.156446655999495,46.0
1.5896549,9.890847723466036,6.6000000000000005
1.6053921,6.008323197484604,31.3
1.5599645,6.945105071240979,7.7
1.4591275,11.281342098594335,10.4
1.5581999,10.219131460505768,12.8
1.6073917,13.267948826803828,7.300000000000001
1.6228617,18.092902744769685,7.9
1.4975263,26.09111064177464,8.3
1.5728697,19.342076160362332,8.0
1.5319573,20.109250860856804,8.0
1.6243405,8.31475168940131,8.6
1.5085342,3.9432957822403587,11.8
1.4751025,24.86282416964585,17.0
1.6056064,7.897516399280442,7.6000000000000005
1.7629182,20.61120848404921,31.0
1.5181708,13.93102128314488,9.700000000000001
1.5778655,7.853532399597119,9.700000000000001
1.6026386,24.693989471519828,12.9
1.6317347,40.4397571816024,15.5
1.5763599,65.23296994762153,25.6
1.5131584,26.881656274828092,8.1
1.57166,63.02153510532027,25.0
1.5777757,65.94977638988928,25.8
1.4565595,11.600550501181363,6.7
1.5651071,12.938286051405466,7.2
1.5159687,27.886918182461006,8.4
1.50069,26.68680125334404,7.9
1.5322626,22.94456700665084,13.3
1.5808859,20.278225986894387,6.800000000000001
1.5916983,10.679596016130334,10.8
1.6174674,9.715769038433345,25.8
1.5590448,11.526665999643301,24.400000000000002
1.5214674,19.476612595498775,45.2
1.4962744,2.2367425352000865,5.4
1.4851785,15.90457861389865,11.600000000000001
1.5803733,3.6932610917708497,9.200000000000001
1.6939249,17.16125150522499,26.6
1.5762326,8.377980238986076,8.200000000000001
1.5080853,3.1458237852559483,14.0
1.5452677,0.7234069078005213,7.2
1.7452537,6.6416925046319415,28.700000000000003
1.6211588,4.081426571243588,8.5
1.5131842,25.46935376401266,15.700000000000001
1.4772053,14.915227328577235,8.3
1.3877047,58.19246397358829,43.900000000000006
1.6252043,24.566905011878344,25.3
1.5209942,18.82424788408003,22.400000000000002
1.6525583,6.414133407876225,7.5
1.5729355,22.06883106906853,8.3
1.5490273,16.236534045393853,11.600000000000001
1.565197,16.095969123952745,10.9
1.6398704,10.907690546203442,24.8
1.4935583,28.730502190156848,49.0
1.5069141,9.823746675049897,12.3
1.5433005,16.970155992108786,34.9
1.6010429,16.246058572295958,28.200000000000003
1.5278143,14.915219702604226,55.300000000000004
1.5577608,6.661013151744546,7.2
1.5483817,7.589493003503256,7.4
1.7894154,14.706172346142383,10.100000000000001
1.5659176,28.445049752142882,16.1
1.5421519,14.082607503344617,8.5
1.5827174,59.31458728251874,27.5
1.5568224,19.2930026924259,8.200000000000001
1.591786,25.274806566406667,14.600000000000001
1.551851,13.874969119184847,6.4
1.5785916,54.84773718245796,30.700000000000003
1.5412873,10.528285978963144,8.0
1.567171,21.351474212083854,10.5
1.6378348,26.075880793878934,10.700000000000001
1.5232936,19.993856544933134,15.600000000000001
1.5992116,16.109170980104587,6.9
1.7086276,11.646693139253989,28.3
1.5517138,3.9140585469349527,9.5
1.5174344,21.713555273716363,49.900000000000006
1.5527841,5.215477420389227,8.0
1.5479779,23.696611265420273,8.5
1.6451305,16.035075106500862,11.100000000000001
1.4623309,35.70997424300519,46.0
1.4959058,12.616675584294164,13.5
1.5456119,10.114963929462618,8.5
1.5959548,16.15458084601357,26.900000000000002
1.7560092,29.32834557576689,30.0
1.6171455,4.904144294560282,9.600000000000001
1.6691184,16.05597671412381,8.1
